OSD-id	hits	publicReleaseDate	publicReleaseDateYear	technologyPlatform	technologyType	measurementType	OrganismCount	Organism	Factors
OSD-1	1	11-Dec-2013	2013	Affymetrix	DNA microarray	transcription profiling	0		Spaceflight;Infection
OSD-2	1	01-Apr-2011	2011	Agilent	DNA microarray	transcription profiling	0		Ionizing Radiation;Absorbed Radiation Dose
OSD-3	1	1-Sep-2011	2011	Affymetrix	DNA microarray	transcription profiling	0		Developmental Stage;Spaceflight
OSD-4	1	10-Mar-2010	2010	Affymetrix	DNA microarray	transcription profiling	0		Spaceflight
OSD-5	1	9-Feb-06	2006	Affymetrix	DNA microarray	transcription profiling	0		Microgravity Simulation
OSD-6	1	29-Nov-2007	2007	Affymetrix	DNA microarray	transcription profiling	0		Ionizing Radiation
OSD-7	1	04-Oct-2013	2013	Affymetrix	DNA microarray	transcription profiling	0		Spaceflight;Organism Part
OSD-8	1	1-Jan-12	2012	Agilent	DNA microarray	transcription profiling	0		Altered Gravity;Magnetic Field
OSD-9	1	01-Apr-2011	2011	Compugen	DNA microarray	transcription profiling	0		Ionizing Radiation
OSD-11	1	13-Sep-2007	2007	Sidney Kimmel Cancer Center non-commercial	DNA microarray	transcription profiling	0		Spaceflight
OSD-12	1	Jul-07-2007		Affymetrix	DNA Microarray	Transcription Profiling	0		Microgravity Simulation;generation
OSD-13	1	21-Jun-2012	2012	Affymetrix	DNA microarray	transcription profiling	0		Treatment;Altered Gravity;Spaceflight
OSD-14	1	29-Jul-2010	2010	Affymetrix	DNA microarray	transcription profiling	0		Microgravity Simulation
OSD-15	1	28-Jun-2011	2011	Affymetrix	DNA microarray	transcription profiling	0		Spaceflight;Microgravity Simulation
OSD-16	1	Mar-24-2015		iTRAQ	mass spectrometry	protein expression profiling	0		Spaceflight;Organism Part
OSD-17	1	08-Mar-2012	2012	Affymetrix	DNA microarray	transcription profiling	0		Spaceflight;Organism Part
OSD-18	1	7-Apr-2010	2010	Agilent	DNA microarray	transcription profiling	0		Microgravity Simulation
OSD-19	1	10-Mar-2004	2004	Affymetrix	DNA microarray	transcription profiling	0		Hindlimb Unloading;Treatment
OSD-20	1	1-Nov-2013	2013	spotted DNA-cDNA	DNA microarray	transcription profiling	0		Spaceflight
OSD-21	1	28-Dec-2008	2008	Affymetrix	DNA microarray	transcription profiling	0		Spaceflight;Hindlimb Unloading;Time;Tissue
OSD-22	1	17-Sep-2017	2017	Agilent	DNA microarray	transcription profiling	0		soil environment exposure;Time;Genotype
OSD-25	1	29-Oct-2015	2015	Affymetrix	DNA microarray	transcription profiling	0		Spaceflight
OSD-26	1	01-Dec-2012	2012	Roche	amplicon sequencing assay	metagenome profiling	0		Sample Location;Spaceflight
OSD-27	1	1-Jul-2010	2010	Affymetrix	DNA microarray	transcription profiling	0		Duration;Sex;Temperature;Microgravity Simulation
OSD-28	1	Jun-01-2012		Agilent	DNA microarray	transcription profiling	0		environment exposure;gravitation
OSD-29	1	15-Oct-2010	2010	Affymetrix	DNA microarray	transcription profiling	0		Spaceflight;Treatment;Altered Gravity
OSD-30	1	13-Jun-2008	2008	Affymetrix	DNA microarray	transcription profiling	0		Microgravity Simulation
OSD-31	1	Jul-02-2009		SCKCEN Genomic Platform	DNA microarray	transcription profiling	0		Spaceflight;Ionizing Radiation;Microgravity Simulation
OSD-33	1	13-Sep-2012	2012	CustomArray	DNA microarray	transcription profiling	0		Spaceflight;Cage
OSD-34	1	26-Jun-2013	2013	Affymetrix	DNA microarray	transcription profiling	0		Age;Sex;Temperature;Altered Gravity;Altered Gravity Simulator
OSD-35	1	31-Mar-2012	2012	Affymetrix	DNA microarray	transcription profiling	0		Altered Gravity;Spaceflight
OSD-36	1	01-Jul-2010	2010	Affymetrix	DNA microarray	transcription profiling	0		Altered Gravity;Treatment;Spaceflight;Altered Gravity Simulator
OSD-37	1	01-Nov-2015	2015	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	0		Spaceflight;Ecotype
OSD-38	1	1-Nov-15	2015	LTQ-Orbitrap Velos Pro	mass spectrometry	protein expression profiling	0		Spaceflight;Sample Preservation Method
OSD-38	1	1-Nov-15	2015	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	0		Spaceflight;Sample Preservation Method
OSD-41	1	Jun-29-2012		Agilent	DNA microarray	transcription profiling	0		gravity
OSD-42	1	14-Oct-2011	2011	Affymetrix	DNA microarray	transcription profiling	0		Spaceflight
OSD-43	1	06-Sep-2012	2012	Affymetrix	DNA microarray	transcription profiling	0		Microgravity Simulation
OSD-44	1	15-Sep-2015	2015	Affymetrix	DNA microarray	transcription profiling	0		Genotype;Spaceflight
OSD-46	1	18-Sep-2014	2014	Affymetrix	DNA microarray	transcription profiling	0		Ionizing Radiation;Exposure Duration;Time of Sample Collection After Treatment;Genotype;Age;Absorbed Radiation Dose
